"","geoid2","date","month","day","year","elapsed","country","continent","population_2019","cases","deaths","date_rep","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","pop_below14_2018","migration_share","oil","life_exp_2017","soc_insur_cov","soc_contrib","soc_safety","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","pos_gov_lr","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","woman_leader","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","infections_mers","infections_sars","infections_ebola","infection","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","scode","state_fragility","effect","legit","seceff","secleg","poleff","polleg","ecoeff","ecoleg","soceff","socleg","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","metro_area","iso_3166_2_code","census_fips_code","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_cumul","precip_cumul","weeknumber","excess_deaths_weekly","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"St. Kitts & Nevis","KNA","2021-06-21","6","21","2021","538","St. Kitts & Nevis","America","","0","0","2021-06-21","341","1","0.693","1","0","Latin America & Caribbean","0.551","116.664","","25.9","0.052","","","","93552415.525","201.696","","","13.393","0","","","","","","","","","","","","","","","","","","","","","0","","0","","","","","1912","1912","0.001","","","","0","","0.184","0.661","","","28.8","26.2","","15","106","230","94.2","69.58","91.9","639","0.8","7.1","26.2","","","","","","","","","","","","","","","-2.948","5.307","","","","","","","","","","","","","","","","","","","","","","","","","24.957","166.25","25_2021","","","","","19.069","2.999","","","KNA","13","525","",""
"South Korea","KOR","2021-06-21","6","21","2021","538","South Korea","Asia","51269183","3233","16","2021-06-21","151506","2004","7.603","1988","0.007","East Asia & Pacific","1.183","78.66","","41.894","51.607","3178472","4262431","18.295","12182600000","529.359","50.174","12.973","2.639","0.002","82.627","","25.513","","8","31.562","0","0","0","0","2.561","2.474","2.586","0.866","2.274","0.079","0.25","0.749","32.932","51.325","0","0.687","0","4","4","","789","35","35","0.029","186","3","","1","0.607","0.002","0.66","0.004","3.217","100","70.2","3.667","92.1","232.6","1150","99.9","90.3","99.9","1604","0.9","58.7","71.5","ROK","0","0","0","0","0","0","0","0","0","0","0","1","14.419","3.944","6.272","","","","","","","","","","","","","","2.4","","","","","","","","","","","11.735","100.098","25_2021","","","","","38.832","3.685","","","KOR","34","504","62","476"
"Kuwait","KWT","2021-06-21","6","21","2021","538","Kuwait","Asia","4270563","11069","50","2021-06-21","339032","1870","7.534","1820","0.014","Middle East & North Africa","-0.088","100.488","","50.479","4.137","64346","41180","15.682","-21377568.821","232.172","72.252","21.539","73.64","35.506","75.311","","","","-7","","0.537","0.797","0","0","0.789","0.444","2.584","0.762","1.635","0.454","0","-1.099","30","62.969","0","-0.686","0","1","1","","","262","262","0.004","4","1","","0","0.274","0.66","0.674","0.708","2.266","100","46.1","3.49","47.5","260.8","200","96.1","80.7","100","2432","0.8","36.5","50.2","KUW","4","0","4","0","1","0","0","0","3","0","0","0","2.551","1.42","5.447","","","","","","","","","","","","","","-16","","","","","","","","","","","26.419","9.937","25_2021","","","","","451.984","6.116","","","KWT","62","476","118","420"
"Laos","LAO","2021-06-21","6","21","2021","538","Laos","Asia","","0","0","2021-06-21","2053","3","1.386","3","0","East Asia & Pacific","-0.673","","","7.593","7.062","126685","161059","14.04","1319609797.485","30.596","","32.604","0.327","0","67.277","","","","-7","35.675","0.65","0.714","1","0.02","-2.786","-2.542","-1.28","0.303","-0.684","0.743","0.75","1.514","","","0","-0.205","0","1","1","","","374","374","0.003","","","","0","0.082","0.514","0.545","0.481","0.202","11.6","43.1","3.396","70.4","49.1","150","84.7","36.6","72.6","50","0.6","19.4","52","LAO","12","5","7","0","0","1","2","3","3","1","2","0","4.075","1.955","3.421","","","","","","","","","","","","","","-16","","","","","","","","","","","23.53","134.515","25_2021","","","","","0.425","0.354","","","LAO","13","525","",""
"Lebanon","LBN","2021-06-21","6","21","2021","538","Lebanon","Asia","6825442","274","11","2021-06-21","542649","7801","8.962","7790","0.003","Middle East & North Africa","-0.64","68.155","","15.612","6.849","220389","259246","14.908","2653921502.884","669.494","34.827","26.096","34.146","0","78.833","","1.359","","6","36.533","0.813","0.563","3","0.03","2.232","0.045","0.262","0.633","-0.129","0.754","0","0.916","9.917","20","0","-0.617","0","1","1","","","786","786","0.001","2","","","0","0.324","0.131","0.789","0.78","2.155","48.3","43.1","3.691","62","238","290","91.2","85.6","95.4","598","0.8","23.8","47.9","LEB","5","1","4","0","1","0","3","1","0","0","0","0","7.003","1.924","6.507","","","","","","","","","","","","","","-32.2","","","","","","","","","","","17.059","57.044","25_2021","","","","","1139.011","7.039","","","LBN","62","476","90","448"
"Liberia","LBR","2021-06-21","6","21","2021","538","Liberia","Africa","","0","0","2021-06-21","2995","95","4.564","95","0","Sub-Saharan Africa","-1.341","120.343","","1.497","4.819","69946","86834","","129129754.833","50.031","29.432","41.125","2.526","0","63.295","0.496","0.512","13.991","7","36.8","0.403","0.606","0","0","2.015","1.997","-1.597","0.775","0.462","0.776","0","0.499","17.387","","0","","0","4","","234","1308","1308","234","0.004","","","10675","1","0.469","0.908","0.488","0.899","2.055","","35.1","3.245","29.1","2.3","80","42.9","32.2","16.9","19","0.4","19.9","40.5","LBR","12","7","5","0","0","1","0","4","3","2","2","0","3.253","1.573","3.913","","","","","","","","","","","","","","","","","","","","","","","","","26.085","182.039","25_2021","","","","","19.714","3.031","","","LBR","20","518","41","497"
"Libya","LBY","2021-06-21","6","21","2021","538","Libya","Africa","","0","0","2021-06-21","191038","3178","8.064","3178","0","Middle East & North Africa","-1.847","92.773","","15.018","6.679","133852","159487","13.74","0","3.796","17.335","28.319","12.282","37.522","72.52","","","","0","","0.275","0.49","3","0.156","1.648","0.298","-0.118","0.441","-2.093","0.857","0.167","2.992","10.643","24.503","0","0.62","0","1","1","","","","2000","0","","","","0","0.198","0.792","0.057","0.151","2.853","","25.7","3.572","36","209.2","370","94.2","71.1","99.7","","0.7","9.1","18.9","LIB","14","5","9","1","3","3","3","1","3","0","0","","4.392","1.899","1.334","","","","","","","","","","","","","","21.6","","","","","","","","","","","21.967","4.422","25_2021","","","","","475.851","6.167","","","LBY","13","525","90","448"
"St. Lucia","LCA","2021-06-21","6","21","2021","538","St. Lucia","America","","0","0","2021-06-21","5216","80","4.394","80","0","Latin America & Caribbean","0.196","","","15.261","0.182","8630","9210","","40030761.705","298.179","","18.529","6.903","0","75.907","","","","","45.429","","","","","","","","","","","","","","","0","0.176","0","4","4","","","476","476","0.002","","","","0","","0.177","0.332","","","35.514","35.3","3.267","30.3","10.3","130","94.2","63.3","90.9","285","0.7","6.3","42.4","","","","","","","","","","","","","0","9.808","-1.704","5.698","","","","","","","","","","","","","","","","","","","","","","","","","25.994","171.624","25_2021","","","","","439.829","6.089","","","LCA","27","511","321","217"
"Liechtenstein","LIE","2021-06-21","6","21","2021","538","Liechtenstein","Europe","","0","0","2021-06-21","3028","59","4.094","59","0","Europe & Central Asia","1.739","","","","0.038","","","","-87212093508.406","236.938","","","62.596","","83.746","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","0.573","0.334","","","95","43.5","","22.9","300","505","99.9","90.69","100","2867","0.9","31.1","34.6","","","","","","","","","","","","","","","-3.273","5.468","","","","","","","","","","","","","","","","","","","","","","","","","6.826","130.113","25_2021","","","","","1556.318","7.351","","","LIE","13","525","265","273"
"Sri Lanka","LKA","2021-06-21","6","21","2021","538","Sri Lanka","Asia","21413250","16051","398","2021-06-21","239689","2534","7.838","2136","0.226","South Asia","-0.235","53.227","","12.865","21.67","964240","1305398","15.587","1614044009.229","345.559","","24.197","0.187","0","76.648","7.839","1.305","28.127","6","48.5","0.416","0.642","2","0.13","0.131","0.747","1.309","0.815","0.479","0.321","0.2","1.933","","","1","0.62","0","3","","","1711","45","45","0.022","","","","0","0.468","0.415","0.485","0.428","2.59","100","33.9","3.25","43","88.1","360","91.9","70.6","94.2","212","0.8","16.9","26.4","SRI","11","6","5","2","2","2","3","2","0","0","0","1","10.474","3.076","5.845","","","","","","","","","","","","","","-33.2","","","","","","","","","","","27.837","128.185","25_2021","","","","","116.936","4.77","","","LKA","76","462","153","385"
"Lesotho","LSO","2021-06-21","6","21","2021","538","Lesotho","Africa","","0","0","2021-06-21","11107","329","5.799","329","0","Sub-Saharan Africa","-0.861","143.05","","2.749","2.108","37150","66163","","128696373.484","69.438","","32.716","0.308","0","52.947","1.16","","70.647","8","52.2","0","0","0","0","-0.028","0.275","1.045","0.652","1.325","0.47","0.333","0.002","5.26","","0","-0.875","0","4","","","","111","111","0.009","","","","0","0.434","0.255","0.721","0.255","2.651","17.6","30.2","3.423","18","4.7","130","76.6","32","43.8","155","0.5","20.6","33.2","LES","10","7","3","0","1","2","0","3","0","2","2","1","4.901","0.746","4.24","","","","","","","","","","","","","","","","","","","","","","","","","13.296","60.531","25_2021","","","","","156.062","5.057","","","LSO","48","490","76","462"
"Lithuania","LTU","2021-06-21","6","21","2021","538","Lithuania","Europe","2794090","524","23","2021-06-21","278466","4371","8.383","4348","0.007","Europe & Central Asia","1.072","149.3","","35.39","2.802","186301","365665","10.167","867654602.336","44.723","","14.882","4.726","0.025","75.48","","39.132","","10","34.65","0.282","0.481","2","0.124","1.525","3.124","1.933","0.896","1.227","0.117","0.167","-2.842","","","0","-0.202","0","3","","","1523","214","214","0.005","","","","0","0.755","0.322","0.414","0.338","3.535","95","55","3.064","81.5","437.9","730","99.8","80.5","93.6","1298","0.9","34.4","33.9","LIT","1","1","0","0","0","1","0","0","0","0","0","1","19.702","1.03","3.8","","","","","","","","","","","","","","-23.6","","","","","","","","","","","7.335","50.433","25_2021","","","","","1560.212","7.353","","","LTU","76","462","97","441"
"Luxembourg","LUX","2021-06-21","6","21","2021","538","Luxembourg","Europe","626108","110","0","2021-06-21","70516","818","6.708","818","0","Europe & Central Asia","1.778","387.103","","114.11","0.608","38912","47310","14.557","-16756616318.481","250.185","","15.879","43.964","0","82.095","","29.207","","10","28.688","0","0","0","0","2.133","1.82","2.542","0.882","2.778","0.059","0","","","","0","","0","5","5","","","1312","1312","0.001","","","","0","0.765","0.53","0.091","","3.811","97.6","43.8","4.307","41.7","292.1","480","99.9","96","97.6","5176","0.9","37.9","27.3","LUX","0","0","0","0","0","0","0","0","0","0","0","1","14.182","-0.498","5.522","","","","","","","","","","","","","","-20.4","","","","","","","","","","","10.111","68.93","25_2021","","","","","1345.505","7.205","","","LUX","76","462","90","448"
"Latvia","LVA","2021-06-21","6","21","2021","538","Latvia","Europe","","0","0","2021-06-21","136810","2496","7.823","2496","0","Europe & Central Asia","1.043","123.195","","29.942","1.927","126882","259395","15.216","428832379.844","30.993","","15.996","13.353","0","74.629","","30.335","","8","35.312","0.568","0.827","3","0.353","1.844","3.097","1.797","0.862","1.712","0.143","0.167","-2.17","","","0","","0","5","","","1174","934","934","0.001","","","","0","0.746","0.587","0.556","0.585","3.693","70","62.9","3.062","97.3","320.9","580","99.9","80.7","92.9","868","0.8","47.3","54.7","LAT","0","0","0","0","0","0","0","0","0","0","0","1","20.044","0.656","3.434","","","","","","","","","","","","","","-20.4","","","","","","","","","","","6.609","50.878","25_2021","","","","","1295.161","7.167","","","LVA","13","525","55","483"
"Morocco","MAR","2021-06-21","6","21","2021","538","Morocco","Africa","","0","0","2021-06-21","526651","9238","9.131","9238","0","Middle East & North Africa","-0.209","87.99","","7.438","36.029","1176787","1349886","15.911","3544387229.278","80.729","21.732","27.206","0.257","0.007","76.218","","","","-4","40.82","0.496","0.947","1","0.392","0.441","0.216","-0.158","0.649","0.299","0.648","0.25","-0.44","16.043","47.67","0","-0.997","0","1","1","599","","629","599","0.002","","","","0","0.277","0.484","0.003","0.479","2.449","42.312","43.7","3.775","56.8","61.8","110","69.4","57.6","83.5","218","0.7","29.5","51.5","MOR","7","4","3","0","1","1","1","2","0","1","1","1","7.013","3.584","4.391","","","","","","","","","","","","","","-14.2","","","","","","","","","","","17.294","26.719","25_2021","","","","","256.404","5.551","","","MAR","6","532","20","518"
"Monaco","MCO","2021-06-21","6","21","2021","538","Monaco","Europe","39244","23","0","2021-06-21","2548","33","3.526","33","0","Europe & Central Asia","","","","","0.039","","","5.759","","","","","55.768","","","","","","","","","","","","","","","","","","","","","","0","","0","","","","","1067","1067","0.001","","","","0","","0.684","0.305","","","","32.7","","23.3","664.5","1380","99.9","90.69","100","2402","","31","26","","","","","","","","","","","","","","","-3.252","","","","","","","","","","","","","","","","","","","","","","","","","","14.535","66.769","25_2021","","","","","853.11","6.75","","","MCO","83","455","398","140"
"Moldova","MDA","2021-06-21","6","21","2021","538","Moldova","Europe","","0","0","2021-06-21","256140","6170","8.728","6170","0","Europe & Central Asia","-0.467","85.866","22","12.373","2.706","115730","194643","13.943","311870000","94.264","","15.86","3.512","0.01","71.717","43.898","31.946","23.792","9","34.475","0.416","0.634","3","0.172","1.154","1.256","0.155","0.861","0.692","0.606","0.4","","17.59","","0","","0","1","1","","249","1445","249","0.004","","","","0","0.418","0.553","0.56","0.51","2.116","75.7","42.9","3.114","42.9","319.8","580","99.1","67.4","78.4","234","0.7","36.4","31.1","MLD","8","4","4","0","1","1","2","3","1","0","0","1","11.47","0.995","4.546","","","","","","","","","","","","","","-22.8","","","","","","","","","","","10.55","42.448","25_2021","","","","","2280.077","7.732","","","MDA","6","532","27","511"
"Madagascar","MDG","2021-06-21","6","21","2021","538","Madagascar","Africa","","0","0","2021-06-21","42123","901","6.805","901","0","Sub-Saharan Africa","-1.153","62.502","","1.613","26.262","359165","425224","13.202","612036371.422","45.14","11.646","40.668","0.132","0.102","66.311","","5.022","","6","43.833","0.599","0.911","0","0","0.934","0.243","-2.306","0.869","-0.174","0.634","0","","27.357","","0","0.176","0","1","1","354","1336","1542","354","0.003","","","","0","0.29","0.879","0.519","0.861","2.18","3.7","40.1","3.354","41.9","14.3","20","71.6","29.6","9.7","43","0.5","19.2","57.8","MAG","12","9","3","0","1","3","1","4","1","2","0","1","2.987","3.268","3.81","","","","","","","","","","","","","","","","","","","","","","","","","23.769","130.861","25_2021","","","","","34.308","3.564","","","MDG","13","525","90","448"
"Maldives","MDV","2021-06-21","6","21","2021","538","Maldives","Asia","","0","0","2021-06-21","71896","206","5.333","206","0","South Asia","-0.488","146.237","","18.509","0.516","10052","8995","13.953","575658028.152","1718.987","","20.148","25.872","0","78.325","4.406","","24.346","","40.8","0.02","0.04","0","0","1.061","0.797","-0.677","0.708","1.22","0.225","0.333","","","","0","","0","3","","","1291","1487","1291","0.001","","","","0","0.169","","","","2.089","30","33.8","3.487","25.5","361.1","430","98.6","70.4","95.9","1182","0.7","18.1","40.2","","","","","","","","","","","","","0","3.693","-0.662","7.449","","","","","","","","","","","","","","","","","","","","","","","","","28.406","158.689","25_2021","","","","","399.46","5.993","","","MDV","13","525","125","413"
"Mexico","MEX","2021-06-21","6","21","2021","538","Mexico","America","128932753","23200","1059","2021-06-21","2478551","231244","12.351","230185","0.006","Latin America & Caribbean","-0.153","80.448","36.4","19.992","126.191","4101778","5013893","17.983","37681755259","64.915","40.709","26.557","0.939","1.707","74.947","13.857","11.483","27.49","8","45.186","0.336","0.59","2","0.192","1.622","0.191","-0.805","0.872","-0.272","0.451","0.2","0.899","10.516","16.853","1","0.763","0","4","4","1603","1573","507","507","0.002","","","","0","0.487","0.542","0.18","0.542","2.689","85.6","57.6","3.653","71.2","223.1","150","94.9","66.3","89.2","507","0.8","46.9","50.8","MEX","5","2","3","2","2","0","1","0","0","0","0","1","7.224","4.838","4.173","","","","","","","","","","","","","","-27.4","","","","","","","","","","","22.148","53.463","25_2021","","","","","1832.495","7.514","","","MEX","62","476","90","448"
"Marshall Islands","MHL","2021-06-21","6","21","2021","538","Marshall Islands","Oceania","","0","0","2021-06-21","4","0","0","0","","East Asia & Pacific","-1.554","125.728","","3.894","0.058","","","10.099","9752051.362","324.517","","","6.197","","","","","","","","","","","","","","","","","","","","","","0","","1","","","","","1349","1349","0.001","","","","0","","0.06","0.521","","","","18.2","3.357","4.4","45.6","270","98.3","43","86.9","492","0.7","7.2","18.1","","","","","","","","","","","","","","","-2.84","5.782","","","","","","","","","","","","","","","","","","","","","","","","","28.241","233.961","25_2021","","","","","0","0","","","MHL","","","",""
"North Macedonia","MKD","2021-06-21","6","21","2021","538","North Macedonia","Europe","2076255","88","4","2021-06-21","155624","5475","8.608","5471","0.002","Europe & Central Asia","0.09","133.73","","15.944","2.083","126580","158161","","648732424.985","82.592","","16.517","6.29","0","75.589","","27.646","","9","33.871","0.522","0.791","5","0.097","0.602","0.716","1.167","0.718","0.91","0.512","0.25","","","","0","-0.202","0","3","","","1502","32","32","0.031","","","","0","0.298","0.502","0.59","0.535","1.961","94.948","39.1","2.855","41.7","287.5","440","97.8","75.1","90.9","594","0.8","25.4","33.1","MAC","2","1","1","0","0","0","1","1","0","0","0","1","13.67","0.734","4.414","","","","","","","","","","","","","","-19.6","","","","","","","","","","","10.794","52.23","25_2021","","","","","2628.474","7.875","","","MKD","76","462","97","441"
"Mali","MLI","2021-06-21","6","21","2021","538","Mali","Africa","","0","0","2021-06-21","14381","524","6.263","524","0","Sub-Saharan Africa","-1.005","59.79","","2.283","19.078","210390","267944","","467067198.108","15.635","12.825","47.543","2.063","0","58.452","","","","5","","0.184","0.346","0","0","0.806","0.969","0.381","0.382","1.024","0.55","0","","23.806","","0","-0.202","0","2","","","1235","18","18","0.056","","","8","0","0.374","0.691","0.182","0.754","1.98","1.9","29","2.514","25.5","8.5","10","33.1","34.9","31.3","26","0.4","13","29.5","MLI","15","7","8","0","2","2","1","3","2","2","3","0","2.507","2.949","2.75","","","","","","","","","","","","","","-3.2","","","","","","","","","","","28.846","19.669","25_2021","","","","","27.467","3.349","","","MLI","6","532","27","511"
"Malta","MLT","2021-06-21","6","21","2021","538","Malta","Europe","","0","0","2021-06-21","30590","420","6.043","420","0","Middle East & North Africa","0.969","268.766","","43.064","0.485","44733","53883","14.762","4750494292.149","1514.469","","14.277","9.898","0","82.346","","16.209","","","26.925","0","0","0","0","1.039","0.765","2.693","0.871","0.822","0.141","0.5","1.413","","","0","-0.617","0","3","3","","1483","814","814","0.001","","","","0","0.565","0.041","0.122","","2.819","100","37.3","4.169","32.9","390.8","470","93.3","89.9","100","2216","0.9","23.6","22.4","","","","","","","","","","","","","1","20.349","-0.724","7.323","","","","","","","","","","","","","","-19","","","","","","","","","","","19.583","29.643","25_2021","","","","","866.641","6.766","","","MLT","13","525","174","364"
"Myanmar (Burma)","MMR","2021-06-21","6","21","2021","538","Myanmar (Burma)","Asia","","0","0","2021-06-21","148022","3262","8.09","3262","0","East Asia & Pacific","-1.069","60.689","","5.029","53.708","1259166","1847696","15.042","1291196200.669","82.239","12.161","26.371","0.136","0.17","66.558","5.35","0.555","8.725","8","34.45","0.522","0.65","7","0.233","0.749","-0.101","-1.038","0.395","0.27","0.425","0.333","","15.083","80.167","0","","1","1","1","264","","264","264","0.004","","","","0","0.253","0.506","0.197","0.522","3.403","","43.4","3.229","59.2","56.8","90","75.6","41.6","64.7","58","0.6","19.5","50.4","MYA","18","8","10","3","3","1","3","2","3","2","1","","5.785","3.984","4.41","","","","","","","","","","","","","","-33.4","","","","","","","","","","","23.606","154.05","25_2021","","","","","60.735","4.123","","","MMR","13","525","174","364"
"Montenegro","MNE","2021-06-21","6","21","2021","538","Montenegro","Europe","","0","0","2021-06-21","100075","1605","7.382","1605","0","Europe & Central Asia","0.131","109.609","","20.629","0.622","39569","53611","13.246","485653127.823","46.262","","18.21","13.19","0","76.667","47.933","","8.076","9","28.96","0.693","0.761","2","0.297","0.458","-0.132","1.635","0.821","0.573","0.609","0","1.213","","","0","","0","","","","1130","1633","1130","0.001","","","","0","0.383","","","","2.396","94.95","43.7","2.877","55.4","234.3","400","98.4","81","95.9","1001","0.8","29.5","32.1","MNT","2","2","0","0","0","1","0","1","0","0","0","","14.975","-0.474","3.834","","","","","","","","","","","","","","","","","","","","","","","","","9.652","100.104","25_2021","","","","","2579.444","7.856","","","MNE","6","532","104","434"
"Mongolia","MNG","2021-06-21","6","21","2021","538","Mongolia","Asia","","0","0","2021-06-21","93551","436","6.08","436","0","East Asia & Pacific","-0.233","122.499","25.7","11.916","3.17","53849","75608","13.416","1951528195.819","2.041","47.958","30.41","0.595","1.863","69.509","44.522","18.789","86.026","10","34.143","0.185","0.343","1","0.05","1.219","1.392","0.825","0.88","0.42","0.609","0","0.33","","","0","-0.205","0","2","2","","472","1566","472","0.002","","9","","0","0.499","0.368","0.08","0.272","2.803","81.9","49.5","2.147","77.3","326.2","700","98.3","53.4","59.2","265","0.7","30.8","37.8","MON","7","2","5","0","1","0","0","2","3","0","1","1","4.084","1.154","0.713","","","","","","","","","","","","","","-50","","","","","","","","","","","0.367","16.585","25_2021","","","","","137.53","4.931","","","MNG","6","532","384","154"
"Northern Mariana Islands","MNP","2021-06-21","6","21","2021","538","Northern Mariana Islands","Oceania","","0","0","2021-06-21","183","2","1.099","2","0","East Asia & Pacific","","108.692","","","0.057","","","","","123.657","","","39.31","0","","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","","","","","","","3.11","","","","","","","","","","","","","","","","","","","","","","","","","-2.867","4.818","","","","","","","","","","","","","","","","","","","","","","","","","28.089","560.739","25_2021","","","","","35.161","3.588","","","MNP","13","525","",""
"Mozambique","MOZ","2021-06-21","6","21","2021","538","Mozambique","Africa","","0","0","2021-06-21","72507","848","6.744","848","0","Sub-Saharan Africa","-0.874","131.986","","1.29","29.496","321444","531223","13.2","2678190543.599","37.509","9.28","44.671","0.797","0.097","59.309","3.809","3.219","1.58","5","46.733","0.603","0.829","1","0.098","0.91","0.693","-0.263","0.593","-0.022","0.707","0","-1.365","13.225","","0","-0.377","0","3","3","","1679","1679","1679","0.001","","","","0","0.316","0.693","0.676","0.765","2.282","","28.1","2.788","29.3","5.5","70","56","30","23.6","33","0.4","17","18.2","MZM","11","5","6","0","2","0","0","3","2","2","2","1","2.891","3.384","3.625","","","","","","","","","","","","","","-11","","","","","","","","","","","24.731","105.38","25_2021","","","","","28.75","3.393","","","MOZ","20","518","125","413"
"Mauritania","MRT","2021-06-21","6","21","2021","538","Mauritania","Africa","","0","0","2021-06-21","20288","480","6.176","480","0","Sub-Saharan Africa","-0.727","96.555","","5.042","4.403","58497","79815","13.027","772890477.191","4.272","27.375","40.083","3.397","0.602","64.464","","","45.216","-2","38.36","0.66","0.888","1","0.3","0.768","1.139","-0.845","0.637","-0.11","0.757","0","","","","0","","0","1","1","","1564","1269","1269","0.001","","","","0","0.171","0.615","0.015","0.625","2.148","6","27.5","2.844","39.5","6.8","40","51.2","40.6","44.6","60","0.5","17","24.2","MAA","16","8","8","0","1","3","2","3","3","2","2","1","3.141","1.482","1.452","","","","","","","","","","","","","","","","","","","","","","","","","27.963","5.398","25_2021","","","","","109.009","4.701","","","MRT","69","469","83","455"
"Montserrat","MSR","2021-06-21","6","21","2021","538","Montserrat","America","","0","0","2021-06-21","20","1","0.693","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.55","200.15","25_2021","","","","","","","","","MSR","27","511","",""
"Mauritius","MUS","2021-06-21","6","21","2021","538","Mauritius","Africa","","0","0","2021-06-21","1680","18","2.944","18","0","Sub-Saharan Africa","0.876","95.111","","22.208","1.265","62612","82571","14.372","371518185.92","623.302","","17.794","2.245","0","74.515","18.792","4.332","44.854","10","37.967","0.73","0.726","4","0.41","1.601","2.298","1.888","0.778","1.27","0.442","0.5","0.193","13.315","","0","","0","3","3","","","1702","1702","0.001","","","","0","0.707","0.463","0.638","0.632","3.804","100","34.9","3.097","42.3","200.3","340","93.2","68.7","93.1","532","0.8","15.1","34.9","MAS","0","0","0","0","0","0","0","0","0","0","0","0","11.474","0.235","6.435","","","","","","","","","","","","","","-18.6","","","","","","","","","","","24.111","200.219","25_2021","","","","","14.226","2.723","","","MUS","6","532","48","490"
"Malawi","MWI","2021-06-21","6","21","2021","538","Malawi","Africa","","0","0","2021-06-21","34914","1171","7.066","1171","0","Sub-Saharan Africa","-0.729","68.986","","1.043","18.143","192169","287793","9.264","101464222.037","192.441","5.675","43.902","1.25","0","63.279","0.566","","41.219","6","45.814","0.609","0.908","0","0","0.64","0.809","-1.737","0.514","1.107","0.643","0.25","-0.363","20.093","","0","-1.031","0","3","3","","113","1897","113","0.009","","","","0","0.466","0.674","0.819","0.829","3.02","","28","3.804","23.3","1.9","130","62.1","32.2","43.5","32","0.5","15.3","20.7","MAW","13","7","6","0","1","1","1","4","3","2","1","0","2.645","2.898","5.26","","","","","","","","","","","","","","","","","","","","","","","","","22.587","121.983","25_2021","","","","","64.542","4.183","","","MWI","13","525","83","455"
"Malaysia","MYS","2021-06-21","6","21","2021","538","Malaysia","Asia","32365998","43511","569","2021-06-21","701019","4477","8.407","3908","0.157","East Asia & Pacific","1.075","130.503","","27.537","31.529","1025167","1078350","17.918","8570094242.95","95.963","23.991","23.995","8.289","2.204","75.828","8.381","","75.719","7","40.829","0.595","0.786","3","0.065","0.787","1.189","1.364","0.711","0.608","0.367","0","0.585","19.573","50.152","0","-0.072","0","4","4","","","1176","1176","0.001","2","5","","0","0.22","0.588","0.666","0.596","1.225","100","62.2","3.468","73.2","153.3","190","93.7","68.1","99.6","531","0.8","57.1","61.3","MAL","3","0","3","0","1","0","2","0","0","0","0","0","6.672","3.451","4.564","","","","","","","","","","","","","","-32.2","","","","","","","","","","","26.272","248.274","25_2021","","","","","141.998","4.963","","","MYS","41","497","83","455"
"Namibia","NAM","2021-06-21","6","21","2021","538","Namibia","Africa","","0","0","2021-06-21","75766","1179","7.073","1179","0","Sub-Saharan Africa","0.106","82.749","","9.932","2.448","33216","55805","13.309","183488531.135","2.974","","36.91","3.818","0","63.021","3.852","","40.644","6","65.114","0.725","0.597","4","0.093","1.04","1.015","-1.143","0.779","1.598","0.369","0.4","-0.095","24.611","","0","","1","1","1","295","1722","1725","295","0.003","","","","0","0.608","0.633","0.663","0.724","3.66","28","35.6","3.731","46","37.4","270","88.3","44.6","33.8","600","0.6","10.1","30.9","NAM","5","2","3","0","0","0","1","1","0","1","2","1","3.636","0.895","1.09","","","","","","","","","","","","","","-15","","","","","","","","","","","20.674","27.261","25_2021","","","","","481.567","6.179","","","NAM","20","518","146","392"
