"","geoid2","date","month","day","year","elapsed","country","continent","population_2019","cases","deaths","date_rep","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","pop_below14_2018","migration_share","oil","life_exp_2017","soc_insur_cov","soc_contrib","soc_safety","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","pos_gov_lr","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","woman_leader","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","infections_mers","infections_sars","infections_ebola","infection","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","scode","state_fragility","effect","legit","seceff","secleg","poleff","polleg","ecoeff","ecoleg","soceff","socleg","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","metro_area","iso_3166_2_code","census_fips_code","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_cumul","precip_cumul","weeknumber","excess_deaths_weekly","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"Israel","ISR","2021-06-21","6","21","2021","538","Israel","Asia","8655541","266","0","2021-06-21","839940","6427","8.768","6427","0.001","Middle East & North Africa","1.208","58.465","","39.543","8.883","473545","590349","15.818","21514500000","410.481","57.93","27.925","24.947","0.002","82.551","","17.445","","6","35.962","0.774","0.678","1","0.12","2.077","1.543","2.149","0.808","1.788","0.181","0","1.102","","","1","","0","2","2","","456","1160","456","0.002","","","","0","0.578","0.344","0.347","0.526","3.353","100","47.3","4.748","52.4","357.6","310","99.9","84.8","100","1777","0.9","42.2","39.9","ISR","7","2","5","2","2","0","3","0","0","0","0","1","11.977","2.184","6.017","","","","","","","","","","","","","","-16.8","","","","","","","","","","","19.98","33.217","25_2021","","","","","723.533","6.586","","","ISR","62","476","90","448"
"Italy","ITA","2021-06-21","6","21","2021","538","Italy","Europe","59641488","8104","268","2021-06-21","4252976","127270","11.754","127002","0.004","Europe & Central Asia","0.414","60.512","","42.198","60.422","5961868","7785219","17.134","39613297744.148","205.418","18.744","13.329","9.681","0.039","82.946","","33.073","","10","33.4","0.125","0.232","4","0.038","2.175","2.259","2.24","0.896","1.657","0.199","0.4","0.26","28.25","","1","1.298","0","4","","1115","689","1115","689","0.001","1","4","1","0","0.773","0.115","0.303","0.04","3.547","100","56.2","4.055","78.5","402.1","340","98.8","94.9","99.3","2552","0.9","36.8","47.5","ITA","1","0","1","0","0","0","1","0","0","0","0","1","22.752","4.101","5.325","","","","","","","","","","","","","","-29.6","","","","","","","","","","","14.154","62.067","25_2021","","","","","2106.36","7.653","","","ITA","55","483","62","476"
"Jamaica","JAM","2021-06-21","6","21","2021","538","Jamaica","America","","0","0","2021-06-21","49712","1034","6.942","1034","0","Latin America & Caribbean","0.497","89.026","","9.738","2.935","125125","133045","12.106","774620603.114","270.993","","23.75","0.829","0","74.267","4.342","","54.968","9","40.95","0","0","0","0","2.198","1.661","1.345","0.873","1.604","0.124","0","-2.004","","","0","","0","4","4","","","354","354","0.003","","","","0","0.701","0.413","0.616","0.166","3.149","20.1","29","3.321","24.3","47.2","170","88.1","62","85.4","324","0.7","10","24.7","JAM","3","1","2","0","2","0","0","1","0","0","0","0","8.797","1.077","5.602","","","","","","","","","","","","","","-30.4","","","","","","","","","","","25.681","179.326","25_2021","","","","","352.317","5.867","","","JAM","6","532","90","448"
"Jersey","JEY","2021-06-21","6","21","2021","538","Jersey","Europe","","0","0","2021-06-21","3313","69","4.248","69","0","","1.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25_2021","","","","","","","","","JEY","6","532","34","504"
"Jordan","JOR","2021-06-21","6","21","2021","538","Jordan","Asia","","0","0","2021-06-21","746480","9663","9.176","9663","0","Middle East & North Africa","0.113","90.197","","9.854","9.956","179856","203118","15.035","954929577.465","112.142","20.737","34.245","40.977","0.001","74.292","28.235","0.134","65.678","-3","36.3","0.585","0.904","1","0.06","0.338","0.187","0.998","0.761","1.047","0.471","0.2","-0.62","15.97","42.522","0","-0.617","0","1","1","","","203","203","0.005","28","","","0","0.205","0.593","0.066","0.509","2.473","75","42.1","2.697","42.9","342.6","140","97.9","70.2","96.7","313","0.7","27.8","47.8","JOR","7","3","4","0","2","1","2","2","0","0","0","","3.847","2.298","4.72","","","","","","","","","","","","","","-18.6","","","","","","","","","","","19.063","8.42","25_2021","","","","","970.569","6.879","","","JOR","6","532","118","420"
"Japan","JPN","2021-06-21","6","21","2021","538","Japan","Asia","126476458","8242","385","2021-06-21","782064","14418","9.576","14033","0.038","East Asia & Pacific","1.676","36.817","","41.074","126.529","15185127","19708026","18.655","24605910854.488","347.073","64.628","12.697","1.615","0.002","84.1","","0.68","","10","32.15","0.041","0.081","3","0.012","1.883","1.219","2.826","0.888","2.424","0.03","0","-1.084","35.597","43.363","0","0.678","0","3","3","872","","599","599","0.002","","","","0","0.709","0.012","0.541","0.012","3.715","100","59.8","3.749","70.1","236.7","1340","99.9","94.1","100","3839","0.9","46.6","53.6","JPN","1","0","1","0","0","0","1","0","0","0","0","1","27.577","4.84","5.85","","","","","","","","","","","","","","-11.8","","","","","","","","","","","11.115","130.633","25_2021","","","","","113.95","4.744","","","JPN","34","504","76","462"
"Kazakhstan","KAZ","2021-06-21","6","21","2021","538","Kazakhstan","Asia","","0","0","2021-06-21","467069","7666","8.945","7666","0","Europe & Central Asia","0.022","63.528","","25.544","18.276","479389","871600","15.782","213930934.558","6.77","15.852","28.461","20.123","9.959","72.95","28.677","3.259","30.621","-6","26.467","0.532","0.798","5","0.324","-0.986","0.208","1.776","0.782","-0.401","0.729","0","0.206","23.892","70.112","0","-0.464","0","1","1","111","1551","385","111","0.009","","","","0","0.14","0.617","0.59","0.664","1.505","70","40.7","2.655","28.2","327.4","670","99.8","69.1","97.8","505","0.8","28","26.6","KZK","9","3","6","0","1","2","2","1","2","0","1","1","7.392","2.906","1.912","","","","","","","","","","","","","","-11.8","","","","","","","","","","","6.504","19.75","25_2021","","","","","419.446","6.041","","","KAZ","13","525","34","504"
"Kenya","KEN","2021-06-21","6","21","2021","538","Kenya","Africa","","0","0","2021-06-21","179075","3456","8.148","3456","0","Sub-Saharan Africa","-0.411","36.149","","4.204","51.393","504364","697805","15.597","1625921130.622","90.299","10.896","39.782","2.355","0","65.909","1.188","3.123","26.441","9","46.3","0.846","0.499","0","0","1.354","1.001","-0.16","0.438","0.347","0.506","0","","9.182","","0","","0","3","","881","887","881","881","0.001","","","","0","0.381","0.859","0.777","0.852","2.428","39.426","47.1","4.181","68.6","20.4","140","78.7","39.5","29.8","52","0.6","20.7","37.1","KEN","10","5","5","0","2","0","1","3","1","2","1","0","2.339","3.94","4.503","","","","","","","","","","","","","","-1.6","","","","","","","","","","","25.737","80.265","25_2021","","","","","67.246","4.223","","","KEN","13","525","41","497"
"Kyrgyzstan","KGZ","2021-06-21","6","21","2021","538","Kyrgyzstan","Asia","","0","0","2021-06-21","115615","1937","7.569","1937","0","Europe & Central Asia","-0.612","98.876","23.6","5.133","6.323","108294","175893","13.472","144222600","32.966","","32.35","3.441","0.102","71.2","39.35","18.149","7.178","8","33.5","0.538","0.735","2","0.135","0.791","0.114","0.812","0.681","0.291","0.829","0.4","0.018","12.906","53.157","0","-0.205","0","3","","","583","207","207","0.005","","","","0","0.323","0.675","0.447","0.679","2.91","83","49.3","1.89","64.7","185.4","450","99.2","60.6","96.6","94","0.7","29.8","49.9","KYR","12","7","5","0","1","3","3","3","1","1","0","1","4.495","1.844","3.495","","","","","","","","","","","","","","-25.8","","","","","","","","","","","1.915","36.157","25_2021","","","","","306.352","5.728","","","KGZ","6","532","48","490"
"Cambodia","KHM","2021-06-21","6","21","2021","538","Cambodia","Asia","16718971","4477","93","2021-06-21","43446","441","6.091","348","0.308","East Asia & Pacific","-0.569","124.899","","4.159","16.25","295678","446707","14.16","3212633447.045","92.056","12.014","31.201","0.475","0","69.289","1.869","","","-4","36","0.097","0.183","1","0.012","-0.484","-0.819","-1.438","0.42","-0.98","0.919","0","","","","0","","0","1","1","1084","","1237","1084","0.001","","","","0","0.092","0.21","0.096","0.186","2.181","26.076","39.2","3.093","57.7","14.3","80","80.5","39.4","48.8","50","0.6","12","36.7","CAM","10","7","3","0","1","2","1","3","0","2","1","1","4.569","2.788","4.522","","","","","","","","","","","","","","-18.8","","","","","","","","","","","27.778","140.585","25_2021","","","","","27.139","3.337","","","KHM","76","462","454","84"
